SIID,simvar,periodRatio,mutualHill,durationRatio,a1,a2,e1,e2,i1,i2,m1,m2,b1,b2,argPeri1,argPeri2,longAscNode1,longAscNode2
1427.0,1.0,3.81965735,48.83099756,0.89506421,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.04216,0.15868,0.90489,6.10835,1.30406,2.80714
1436.0,1.0,1.98106402,24.40332619,1.04791427,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.55757,0.51659,0.90489,1.19362,1.30406,-0.71314
1436.0,1.0,7.45380064,60.10028525,0.84198787,0.07845,0.29933,0.12528,0.00818,0.11682,0.07967,3.46032,3.8968,0.51659,0.0331,1.19362,3.29734,-0.71314,0.39279
1439.0,1.0,1.98106402,24.40332619,0.37424506,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.8281,0.01629,0.90489,1.19362,1.30406,-0.71314
1449.0,1.0,1.98106402,24.40332619,0.98108868,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.65111,0.66155,0.90489,1.19362,1.30406,-0.71314
1458.0,1.0,1.98106402,24.40332619,2.00867423,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.33046,0.87922,0.90489,1.19362,1.30406,-0.71314
1479.0,1.0,7.20108206,59.0928791,0.98633855,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.36813,0.52264,0.90489,5.66301,1.30406,-1.95241
1512.0,1.0,3.81965735,48.83099756,1.07002775,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.61539,0.7772,0.90489,6.10835,1.30406,2.80714
1512.0,1.0,1.88526912,21.71492005,0.88425547,0.12152,0.18545,0.13405,0.01126,0.07367,0.05089,2.33135,4.7178,0.7772,0.71504,6.10835,5.66301,2.80714,-1.95241
1537.0,1.0,1.98106402,24.40332619,0.48500172,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.90438,0.55106,0.90489,1.19362,1.30406,-0.71314
1576.0,1.0,7.20108206,59.0928791,1.04551293,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.0108,0.50431,0.90489,5.66301,1.30406,-1.95241
1589.0,1.0,1.98106402,24.40332619,0.89177987,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.15268,0.03365,0.90489,1.19362,1.30406,-0.71314
1600.0,1.0,7.20108206,59.0928791,0.97465094,0.04973,0.18545,0.13862,0.01126,0.08636,0.05089,2.72455,4.7178,0.15222,0.09339,0.90489,5.66301,1.30406,-1.95241
1603.0,1.0,1.98106402,24.40332619,0.37733977,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.95726,0.69934,0.90489,1.19362,1.30406,-0.71314
1603.0,1.0,1.92808375,23.97749473,0.60250808,0.07845,0.12152,0.12528,0.13405,0.11682,0.07367,3.46032,2.33135,0.69934,0.188,1.19362,6.10835,-0.71314,2.80714
1603.0,1.0,1.88526912,21.71492005,1.20693849,0.12152,0.18545,0.13405,0.01126,0.07367,0.05089,2.33135,4.7178,0.188,0.6089,6.10835,5.66301,2.80714,-1.95241
1629.0,1.0,3.81965735,48.83099756,0.85660349,0.04973,0.12152,0.13862,0.13405,0.08636,0.07367,2.72455,2.33135,0.42897,0.39551,0.90489,6.10835,1.30406,2.80714
1645.0,1.0,1.98106402,24.40332619,1.1231872,0.04973,0.07845,0.13862,0.12528,0.08636,0.11682,2.72455,3.46032,0.69559,0.80055,0.90489,1.19362,1.30406,-0.71314
1645.0,1.0,1.92808375,23.97749473,0.60432676,0.07845,0.12152,0.12528,0.13405,0.11682,0.07367,3.46032,2.33135,0.80055,0.35454,1.19362,6.10835,-0.71314,2.80714
