SIID,simvar,transMult,a,e,i,m,rad,probDetect
1046.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1046.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1048.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1048.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1051.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1066.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1066.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1078.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1104.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1106.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1106.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1108.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1124.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1132.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1138.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1139.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1147.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1147.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1156.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1158.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1158.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1161.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1170.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1192.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1200.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1200.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1202.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1202.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
1203.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1203.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1212.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1212.0,1.0,3.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
1212.0,1.0,3.0,0.29933,0.00818,0.07967,3.8968,1.7667985,0.0
1256.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1266.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1266.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
1282.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1282.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1285.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1286.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1286.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1290.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1290.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1298.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1299.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1308.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1341.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1350.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1350.0,1.0,3.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1350.0,1.0,3.0,0.29933,0.00818,0.07967,3.8968,1.7667985,0.0
1352.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1354.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1381.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1390.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1390.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1396.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1396.0,1.0,3.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1396.0,1.0,3.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1403.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1406.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1427.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1427.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1436.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1436.0,1.0,3.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1436.0,1.0,3.0,0.29933,0.00818,0.07967,3.8968,1.7667985,0.0
1439.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1439.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1449.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1449.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1454.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1458.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1458.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1479.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1479.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
1494.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1503.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1512.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1512.0,1.0,3.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1512.0,1.0,3.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
1536.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1537.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1537.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1545.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1546.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1562.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1563.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1576.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1576.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
1585.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1589.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1589.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1600.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1600.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
1602.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1603.0,1.0,4.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1603.0,1.0,4.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1603.0,1.0,4.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1603.0,1.0,4.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
1629.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1629.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1645.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1645.0,1.0,3.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1645.0,1.0,3.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1666.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1677.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1679.0,1.0,3.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1679.0,1.0,3.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1679.0,1.0,3.0,0.29933,0.00818,0.07967,3.8968,1.7667985,0.0
1683.0,1.0,1.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1684.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1684.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1687.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1687.0,1.0,2.0,0.12152,0.13405,0.07367,2.33135,1.39914691,0.0
1695.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1695.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
1713.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1713.0,1.0,2.0,0.07845,0.12528,0.11682,3.46032,1.60383499,0.75927
1730.0,1.0,2.0,0.04973,0.13862,0.08636,2.72455,1.52557743,0.0
1730.0,1.0,2.0,0.18545,0.01126,0.05089,4.7178,1.99736416,0.0
